Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree
,Bachelor of Arts - Business - Sustainability,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Business - Tourism,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Business Data Analytics,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Business Entrepreneurship,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Business Exploratory - Transfer to Bachelor's Degree,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Chemical Engineering,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Chemistry,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Chemistry,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Chemistry - Environmental Chemistry,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Civic and Economic Thought and Leadership,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Civil Engineering,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Civil Engineering - Sustainable Engineering,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Communication,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Communication,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Computational Mathematical Sciences,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Computer Information Systems,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Computer Science,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Computer Science - Cybersecurity,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Computer Science - Software Engineering,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Computer Systems Engineering,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Computer Systems Engineering - Cybersecurity,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Construction Engineering,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Construction Management,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Fine Arts - Dance,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Fine Arts - Dance - Dance Education,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Digital Culture,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Digital Culture - Art,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Digital Culture - Arts and Design Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Digital Culture - Design,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Digital Culture - English,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Digital Culture - Film,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Digital Culture - Graphic Information Technology,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Digital Culture - Interdisciplinary Arts and Performance,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Digital Culture - Media Processing,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Digital Culture - Music,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Digital Culture - Theatre,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Early Childhood and Early Childhood Special Education,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Earth and Environmental Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Earth and Space Exploration,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Earth and Space Exploration - Astrobiology and Biogeosciences,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Earth and Space Exploration - Astrophysics,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Earth and Space Exploration - Exploration Systems Design,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Earth and Space Exploration - Geological Sciences,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Economics,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Economics - Politics and the Economy,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Education Exploratory - Transfer to Bachelor's Degree,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Educational Studies,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Electrical Engineering,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Electrical Engineering - Electric Power and Energy Systems,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Elementary Education,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Elementary Education - Bilingual Education and English as a Second Language,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science in Engineering - Engineering Management,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - English - Creative Writing,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - English - Linguistics,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - English - Literature,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
