Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree
,Bachelor of Arts - Music - Saxophone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Soprano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Tenor,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Bass Trombone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Tenor Trombone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Trumpet,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Tuba,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Viola,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Violin,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music - Music Culture,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Alto,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Baritone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Bassoon,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Bass Voice,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Cello,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Clarinet,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Double Bass,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Euphonium,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Flute,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Guitar,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Harp,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Horn,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Mezzo Soprano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Oboe,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Organ,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Percussion,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Piano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Saxophone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Soprano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Tenor,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Music Education - Bass Trombone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Trumpet,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Tuba,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Viola,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Education - Violin,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Alto,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Baritone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Bassoon,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Bass Voice,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Cello,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Clarinet,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Double Bass,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Euphonium,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Flute,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Guitar,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Harp,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Horn,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Mezzo Soprano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Oboe,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Organ,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Percussion,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Piano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Saxophone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Soprano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Tenor,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Tenor Trombone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Bass Trombone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Trumpet,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Tuba,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Viola,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Music Therapy - Violin,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Piano - Collaborative Piano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Guitar,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Jazz - Double Bass,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Jazz - Guitar,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Jazz - Percussion,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Jazz - Piano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Jazz - Saxophone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Jazz - Trombone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Jazz - Trumpet,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Jazz - Tuba,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Keyboard - Organ,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Keyboard - Piano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Music Theatre - Alto,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Music Theatre - Baritone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Music Theatre - Bass Voice,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Music Theatre - Mezzo Soprano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Music Theatre - Soprano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Music Theatre - Tenor,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Bassoon,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Cello,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Clarinet,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Double Bass,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Euphonium,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Flute,"Tuition: US$ 29,834.00",US$ 0.00,Start: Aug 2020Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Harp,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Horn,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Oboe,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Percussion,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Saxophone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Tenor Trombone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Bass Trombone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Trumpet,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Tuba,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Viola,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Orchestral Instrument - Violin,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Voice - Alto,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Voice - Baritone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Voice - Bass Voice,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Voice - Mezzo Soprano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Voice - Soprano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Performance - Voice - Tenor,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Performance and Movement,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Philosophy,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,"Bachelor of Arts - Philosophy - Morality, Politics and Law","Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Physics,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Physics,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Physics - Secondary Education,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Political Science,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Political Science,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Politics and the Economy,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Psychology,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Psychology,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,"Bachelor of Arts - Religious Studies - Religion, Culture and Public Life","Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,"Bachelor of Arts - Religious Studies - Religion, Politics and Global Affairs","Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Russian,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Secondary Education,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Secondary Education - Biological Sciences,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Secondary Education - Chemistry,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Secondary Education - Earth and Space Sciences,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Secondary Education - English,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Secondary Education - History,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Secondary Education - Mathematics,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Secondary Education - Physics,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Secondary Education - Political Science,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Secondary Education - Spanish,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Sociology,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Spanish,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts in Education - Special Education and Elementary Education,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Speech and Hearing Science,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Supply Chain Management,"Tuition: US$ 30,634.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Science - Sustainability,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Sustainability,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Theatre,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Theatre - Acting,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Arts - Theatre - Design and Production,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Alto,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Baritone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Bassoon,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Bass Voice,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Cello,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Clarinet,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Doublebass,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Euphonium,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Flute,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Guitar,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Harp,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Horn,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Mezzosoprano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Oboe,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Organ,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Percussion,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Piano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Saxophone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Soprano,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Tenor,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Trombone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Trumpet,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Tuba,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Viola,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Composition - Violin,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Theory - Alto,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Theory - Baritone,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Theory - Bassoon,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
,Bachelor of Music - Theory and Composition - Theory - Bass Voice,"Tuition: US$ 29,834.00",US$ 0.00,Start: Jan 2020May 2020Aug 2020Jan 2021May 2021Aug 2021,
