Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,Min PTE (Reading),Min PTE (Writing),Min PTE (Listening),Min PTE (Speaking),Min PTE Overall,Level,Stream,Sub Stream,Duration,City,Language
,Bachelor of Communication (Advertising and Public Relations),31400,100,"Feb, Jul",3 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Mass & Media,Advertising & Public Relations,per year,"Garden Point, Kelvin grove",English
,Bachelor of Biomedical Science/ Bachelor of Business,41700,100,Feb,4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Biomedical Science,per year,Gardens Point (Brisbane),English
,Bachelor of Business/Bachelor of Communication (Creative Industries),31500,100,"Feb, Jul",4 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Mass & Media,Creative Industries,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Business (Honours) (Philanthropy and Nonprofit Studies),34300,100,Feb,1 year,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Business,Philanthropy & Nonprofit Studies,per year,Brisbane,English
,Master of Business/Master of Business,33100,100,"Feb, Jul",2 years,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Master's Science,Business,Business,per year,Brisbane,English
,Bachelor of Behavioural Science (Psychology)/Bachelor of Law (Honours),30700,100,"Feb, Jul",65 Month,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Psychology,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Biomedical Science/ Bachelor of Law (Honour),42000,100,Feb,65 Month,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Science,Biomedical Science,per year,Gardens Point (Brisbane),English
,Bachelor of Communication (Digital Media)/ Bachelor of Law (Honours),30900,100,"Feb, Jul",65 Month,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Mass & Media,Digital Media,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Communication (Entertainment Industries)/ Bachelor of Law (Honours),30900,100,"Feb, Jul",65 Month,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Mass & Media,Entertainment Industries,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Communication (Journalism)/ Bachelor of Law (Honours),30900,100,"Feb, Jul",65 Month,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Mass & Media,Journalism,per year,"Brisbane, Kelvin Grove",English
,Bachelor of Creative Industries/Bachelor of Laws (Honours),30800,100,"Feb, Jul",65 Month,,,16,16,16,16,6,6,6,6,QUOT1001,,79,6.5,50,50,50,50,58,Bachelor's Degree,Social Science,Creative Industries,per year,"Brisbane, Kelvin Grove",English
