Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL iBT: 92.0 (Readng),Min TOEFL iBT: 92.0 (Writing),Min TOEFL iBT: 92.0 (Listening),Min TOEFL iBT: 92.0 (Speaking),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Listening),Min IELTS (Speaking),School ID,
,Honours Bachelor of Science - Environmental Science,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Honours Bachelor of Fine Arts,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,4-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Science - Biology,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - Community Development,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - English,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - Geography,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - Law and Justice,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Science - Computer Science (Optional Co-op),"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - Political Science,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - Psychology,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
,Bachelor of Arts - Sociology,"Tuition: CA$ 18,287.00",CA$ 125.00,Start: Sep 2019Jan 2020May 2020Sep 2020Jan 2021May 2021Sep 2021,3-Year Bachelor's Degree,Grade 12 / High School,60.00%,5.5,5.5,5.5,5.5,,,,,4,
