name,code,landline,email,phone,country,state,city,street,postal code,fax,website,image,other detail,DLI#,logo
South Australia Institute of Business & Technology,SAIBT1001A,,,,Australia,,Adelaide,,,,http://www.saibt.sa.edu.au/,,,,SouthAustraliaInstituteofBusinessTechnology.jpg
"Southern Cross University, Gold Coast",SCUGC1001A,,,,Australia,,Queensland,,,,http://https//www.scu.edu.au,,,,SouthernCrossUniversityGoldCoast.jpg
"Southern Cross University, Lismore and Coffs Harbour",SCULC1001A,,,,Australia,,Sydney,,,,http://scu.edu.au/international/index.php/178,,,,SouthernCrossUniversityLismoreandCoffsHarbour.jpg
Swinburne University of Technology,SWUT1001A,,,,Australia,,Victoria,,,,http://www.swinburne.edu.au/,,,,SwinburneUniversityofTechnology.jpg
Sydney Institute of Business & Technology,SYIBT1001A,,,,Australia,,Sydney,,,,http://www.sibt.nsw.edu.au/,,,,SydneyInstituteofBusinessTechnology.jpg
"Taylors College, Sydney",TACS1001A,,,,Australia,,Sydney,,,,http://www.taylorssydney.edu.au/,,,,TaylorsCollegeSydney.png
The Hotel School,THS1001A,,,,Australia,,Sydney,,,,http://https//hotelschool.scu.edu.au/,,,,TheHotelSchool.jpg
The University of Adelaide,TUOA1001A,,,,Australia,,South Australia,,,,http://www.adelaide.edu.au/,,,,TheUniversityofAdelaide.jpg
The University of Queensland,TUOQ1001A,,,,Australia,,Queensland,,,,http://www.uq.edu.au/,,,,TheUniversityofQueensland.png
TIMES PRO ( Monash College International Pathway) ,TIMES1001A,,,,Australia,,Mumbai,,,,http://timespro.com/course/monash-pathway/,,,,TIMESPROMonashCollegeInternationalPathway.jpg
University of Adelaide College,UOAC1001A,,,,Australia,,Adelaide,,,,http://college.adelaide.edu.au/,,,,UniversityofAdelaideCollege.jpg
University of Canberra College,UOCC1001A,,,,Australia,,Canberra,,,,http://www.canberra.edu.au/uc-college,,,,UniversityofCanberraCollege.jpg
"University of New South Wales, Sydney",UONSW1001A,,,,Australia,,New South Wales,,,,http://www.unsw.edu.au/,,,,UniversityofNewcastle.png
University of Newcastle,UONC1001A,,,,Australia,,New South Wales,,,,http://www.newcastle.edu.au/,,,,UniversityofNewcastleCollegeofInternationalEducation.jpg
University of Newcastle College of International Education,UNCIE1001A,,,,Australia,,Newcastle,,,,http://www.nic.nsw.edu.au/,,,,UniversityofNewSouthWalesSydney.jpg
University of South Australia,UOSA1001A,,,,Australia,,South Australia,,,,http://www.unisa.edu.au/,,,,UniversityofSouthAustralia.png
University of Southern Queensland,UOSQ1001A,,,,Australia,,Sydney,,,,http://www.usqsydney.nsw.edu.au/,,,,UniversityofSouthernQueensland.jpg
University of Tasmania,USOT1001A,,,,Australia,,Tasmania,,,,http://www.utas.edu.au/,,,,UniversityofTasmania.jpg
UNSW Global,UNSWG1001A,,,,Australia,,Sydney,,,,http://www.unswglobal.unsw.edu.au/,,,,UNSWGlobal.png
UTS College,UTSCO1001A,,,,Australia,,Sydney,,,,http://https//utscollege.edu.au/,,,,UTSCollege.jpg
"Western Sydney University, Paramatta",WSUP1001A,,,,Australia,,Sydney,,,,http://www.uws.edu.au/,,,,WesternSydneyUniversityParamatta.jpg
"Western Sydney University, Sydney City",WSUSC1001A,,,,Australia,,New South Wales,,,,http://www.westernsydney.edu.au/city,,,,WesternSydneyUniversitySydneyCity.jpg
