Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,hase,Min TOEFL iBT,Min IELTS Overall
,College Diploma - Auto Body Repair Technician (8406),"CA$ 14,988.00",CA$ 0.00,"Start: Deadline: May 2020, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1015,DLI#: O19394700003,84,6.5
,College Diploma - Motive Power Technician - Automotive - Technical (8202) (Optional Co-op),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,21,21,21,21,5.5,5.5,5.5,5.5,1015,DLI#: O19394700003,80,6
,College Diploma - Automotive Parts and Service Operations (8210) (Optional Co-op),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1015,DLI#: O19394700003,84,6.5
,College Diploma - Community Development Work (1230),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,21,21,21,21,5.5,5.5,5.5,5.5,1015,DLI#: O19394700003,80,6
,College Diploma - Developmental Services Worker (1207),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1015,DLI#: O19394700003,80,6
,College Diploma - Early Childhood Education (1201),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1015,DLI#: O19394700003,80,6
,College Diploma - Motive Power Technician - Truck and Coach - (8214) (Optional Co-op),"CA$ 14,988.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1015,DLI#: O19394700003,80,6
,English Language Learning (6519) (Main Campus Only),"CA$ 8,827.00",CA$ 0.00,"Start: Sep 2019, Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),Grade 12 / High School,,,,,,,,,,1015,DLI#: O19394700003,,
,Royal Canadian Institute of International Studies (RCIIS) - Canadian College Academic Pathway - Intensive (30 hours/week),"CA$ 14,700.00",CA$ 0.00,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020, Jan 2021, Mar 2021, May 2021, Jul 2021, Sep 2021, Nov 2021",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,1015,DLI#: O19394700003,,
