Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,hase,Min TOEFL iBT,Min IELTS Overall
,Double Degree - Bachelor of Arts - Integrated Studies - French & Bachelor of Education - Junior-Intermediate,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Arts - Integrated Studies - General Science & Bachelor of Education - Junior-Intermediate,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Arts - Integrated Studies - Geography & Bachelor of Education - Junior-Intermediate,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Arts - Integrated Studies - History & Bachelor of Education - Junior-Intermediate,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Arts - Integrated Studies - Mathematics & Bachelor of Education - Junior-Intermediate,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Arts - Integrated Studies - Music Voice & Bachelor of Education - Junior-Intermediate,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Arts - Integrated Studies - Visual Arts & Bachelor of Education - Junior-Intermediate,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Science - Integrated Studies - General Science & Bachelor of Education - Junior-Intermediate,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Science - Integrated Studies - Geography & Bachelor of Education - Junior-Intermediate,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Science - Integrated Studies - Mathematics & Bachelor of Education - Junior-Intermediate,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Arts - Dramatic Arts & Bachelor of Education - Intermediate-Senior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
