Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,hase,Min TOEFL iBT,Min IELTS Overall
,Bachelor of Computing and Business (Optional Co-op),"CA$ 26,442.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Kinesiology,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Physical Education,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,27,6,7,6,6,128,DLI#: O19394569014,100,7
,Bachelor of Public Health (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Recreation and Leisure Studies,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Biochemistry (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Biomedical Sciences,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Biophysics,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Chemistry (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Computer Science and Mathematics (Co-op),"CA$ 26,442.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Computing and Solid State Device Technology (Optional Co-op),"CA$ 26,442.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Earth Sciences (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Environmental Geoscience (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Game Programming,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Geography (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Kinesiology,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,78.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Medical Sciences,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,85.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Nursing,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,88.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Oenology and Viticulture (Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Science - Physics (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Sociology,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Sport Management,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Double Degree - Bachelor of Arts - Child and Youth Studies & Bachelor of Education - Primary/Junior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,85.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
,Double Degree - Bachelor of Physical Education & Bachelor of Education - Intermediate-Senior,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,85.00%,,27,,27,6,6,6,6,128,DLI#: O19394569014,100,7
